ChEMBLID,Name,SMILES,MolecularWeight,ALogP,HBondDonors,HBondAcceptors,TPSA,RotatableBonds,MaxPhase_1,MaxPhase_2,MaxPhase_3,Source
CHEMBL72,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,266.39,3.53,1,2,15.27,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL488,AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,1.35,2,3,72.19,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL74,CROMOLYN SODIUM,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],512.33,2.11,3,9,173.71,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.88,4.81,1,3,28.16,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.37,3.33,1,4,39.72,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL416146,ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,4.18,0,4,59.92,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL79,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,2.58,1,2,32.34,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL492,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42,3.75,1,2,32.34,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL80,NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,1.3,2,5,70,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL81,RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,473.59,6.08,2,6,70,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL83,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.52,6,0,2,12.47,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL493,BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,654.61,3.19,3,6,118.21,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL494,ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,360.49,3.54,3,3,77.76,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,421.45,1.85,2,8,104.89,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,3.59,0,6,64.16,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL428880,CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,468.37,2.11,3,9,173.71,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL86,METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8,2,2,4,67.59,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.92,3.74,4,14,221.29,10,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL495,ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,354.49,3.48,3,4,94.83,13,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL10878,AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,2.53,1,2,38.33,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,O=P1(N(CCCl)CCCl)NCCCO1,261.09,1.88,1,2,41.57,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL498,CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.75,1.74,2,3,75.27,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL499,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.43,0.5,2,8,79.74,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL500,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,248.33,1.91,3,3,57.28,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL276832,HYDRALAZINE,NNc1nncc2ccccc12,160.18,0.92,2,4,63.83,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL501,AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O,233.29,1.58,1,1,26.02,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL267345,AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.09,0.71,12,17,319.61,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL90,HISTAMINE,NCCc1c[nH]cn1,111.15,-0.09,2,2,54.7,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL91,MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.13,6.45,0,3,27.05,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL92,DOCETAXEL ANHYDROUS,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,807.89,3.26,5,14,224.45,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL93,ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O,236.3,2.73,2,3,66.56,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.27,2.7,1,2,38.91,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.5,4.36,0,4,38.77,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL503,LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,404.55,4.2,1,5,72.83,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL11662,OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.25,2.03,1,3,55.12,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL504,DIMETHYL SULFOXIDE,C[S+](C)[O-],78.14,-0.01,0,1,23.06,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL505,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,274.8,3.82,0,2,16.13,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL506,PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1,259.35,2.78,2,4,60.17,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL509,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,296.15,4.74,2,2,49.33,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL511,PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.39,2.66,0,4,28.6,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL513,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,214.05,1.16,1,3,61.77,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL514,LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1,233.7,2.25,1,3,61.77,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL515,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.22,3.38,1,2,40.54,9,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL516,CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,287.41,4.7,0,1,3.24,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL12856,INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O,187.2,1.02,2,3,71.77,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.48,3.36,1,3,59.22,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL98,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.32,2.47,3,3,78.43,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL521,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,3.07,1,1,37.3,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL524,METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1,211.26,1.08,2,4,64.71,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL526,PROPOFOL,CC(C)c1cccc(C(C)C)c1O,178.27,3.64,1,1,20.23,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL527,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,331.35,1.58,2,5,99.6,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL528,CEFTIZOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,383.41,-0.56,3,9,147.21,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL529,AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,749,1.9,5,14,180.08,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL530,AMDINOCILLIN,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,325.43,1.41,1,4,73.21,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL532,ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.94,1.79,5,14,193.91,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL533,IBUTILIDE,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,384.59,4.16,2,4,69.64,14,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.47,4.72,0,2,34.14,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL534,KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,309.43,4.01,0,3,20.31,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,398.48,3.33,3,3,77.23,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL537,HYDROQUINONE,Oc1ccc(O)cc1,110.11,1.1,2,2,40.46,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL539,ACETIC ACID,CC(=O)O,60.05,0.09,1,1,37.3,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL544,MEQUINOL,COc1ccc(O)cc1,124.14,1.4,1,2,29.46,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL104,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.85,5.38,0,2,17.82,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL105,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,334.33,-1.65,3,8,146.89,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL545,ALCOHOL,CCO,46.07,0,1,1,20.23,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL546,OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C,265.35,1.99,2,4,50.72,9,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.28,0.74,1,7,81.65,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL547,ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,300.44,5.6,1,1,37.3,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL14376,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,4.83,0,6,64.8,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL548,DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,352.47,3.25,3,4,94.83,12,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL278020,NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.3,1.94,0,2,29.54,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL14370,REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.4,3.19,1,4,39.72,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL549,CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.4,3.81,0,3,36.26,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL550,PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,208.26,1.16,0,4,44.12,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,399.44,2.87,1,6,83.09,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.44,3.41,1,7,74.73,10,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL554,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,581.07,6.14,2,8,106.35,11,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL108,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.27,3.39,1,1,46.33,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL109,VALPROIC ACID,CCCC(CCC)C(=O)O,144.21,2.29,1,1,37.3,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL110,BENZNIDAZOLE,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,260.25,1.11,1,5,90.06,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL556,DEFEROXAMINE,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,560.69,0.92,6,9,205.84,23,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL558,MEXILETINE,Cc1cccc(C)c1OCC(C)N,179.26,2.03,1,2,35.25,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL559,DEXTROTHYROXINE,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,776.87,4.56,3,4,92.78,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL561,LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,351.35,1.8,2,5,74.57,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,352.77,2.81,0,6,71.06,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL563,FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,244.26,3.68,1,1,37.3,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,284.43,4.24,0,3,6.48,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,151.16,1.35,2,2,49.33,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19,-1.03,0,6,61.82,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL567,PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.98,3.94,1,5,29.95,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL568,OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.72,2.45,2,3,61.69,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL15770,SULINDAC,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,356.42,4.37,1,2,60.36,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL569,PROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1,236.31,1.77,1,4,55.56,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL570,TRIFLUPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,352.43,5.26,0,3,6.48,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL571,KETOPROFEN,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.29,3.11,1,2,54.37,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL572,NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,238.16,0.07,1,6,118.05,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL573,NIACIN,O=C(O)c1cccnc1,123.11,0.78,1,2,50.19,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL575,METHICILLIN,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,380.42,0.95,2,6,105.17,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL577,ENALAPRILAT ANHYDROUS,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,348.4,1.13,3,4,106.94,8,52,46,48,ChEMBL CC-BY-SA 3.0
